Time      x1      y1      z1	x2	y2	z2	x3	y3	z3	x4	y4	z4
11.961	6.93137e-310	6.93137e-310	2.122e-314	3.135e-317	1.5316e-322	6.93137e-310	0	0	0
12.012	6.93137e-310	6.93137e-310	2.122e-314	3.135e-317	1.5316e-322	6.93137e-310	0	0	0
12.092	6.93137e-310	6.93137e-310	2.122e-314	3.135e-317	1.5316e-322	6.93137e-310	0	0	0
12.153	6.93137e-310	6.93137e-310	2.122e-314	3.135e-317	1.5316e-322	6.93137e-310	0	0	0
12.223	6.93137e-310	6.93137e-310	2.122e-314	3.135e-317	1.5316e-322	6.93137e-310	0	0	0
12.281	6.93137e-310	6.93137e-310	2.122e-314	3.135e-317	1.5316e-322	6.93137e-310	0	0	0
12.369	6.93137e-310	6.93137e-310	2.122e-314	3.135e-317	1.5316e-322	6.93137e-310	0	0	0
12.436	6.93137e-310	6.93137e-310	2.122e-314	3.135e-317	1.5316e-322	6.93137e-310	0	0	0
12.648	6.93137e-310	6.93137e-310	2.122e-314	3.135e-317	1.5316e-322	6.93137e-310	0	0	0
12.674	6.93137e-310	6.93137e-310	2.122e-314	3.135e-317	1.5316e-322	6.93137e-310	0	0	0
12.697	6.93137e-310	6.93137e-310	2.122e-314	3.135e-317	1.5316e-322	6.93137e-310	0	0	0
12.72	6.93137e-310	6.93137e-310	2.122e-314	3.135e-317	1.5316e-322	6.93137e-310	0	0	0
12.772	6.93137e-310	6.93137e-310	2.122e-314	3.135e-317	1.5316e-322	6.93137e-310	0	0	0
12.843	6.93137e-310	6.93137e-310	2.122e-314	3.135e-317	1.5316e-322	6.93137e-310	0	0	0
13.934	6.93137e-310	6.93137e-310	2.122e-314	3.135e-317	1.5316e-322	6.93137e-310	0	0	0
14.159	-1.79452	0.984702	0.14977	-1.78586	1.26618	0.145579	-2.18562	1.28618	0.152733
14.363	-1.79526	0.985159	0.150855	-1.7859	1.2661	0.145632	-2.18561	1.2862	0.152827
14.583	-1.79518	0.985114	0.150716	-1.78595	1.26608	0.145622	-2.18536	1.28677	0.15318
14.814	-1.79417	0.984042	0.148825	-1.78595	1.26605	0.145622	-2.18534	1.28672	0.153075
15	-1.79425	0.984191	0.149063	-1.78603	1.26613	0.14578	-2.18536	1.28667	0.153076
15.277	-1.79429	0.984168	0.149116	-1.78569	1.26644	0.145705	-2.18544	1.28663	0.153202
