rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,left,right
1497392220389849378,,516,,1478858778,902462005,'',0.0,0.0
1497392220489975587,,517,,1478858779,2666950,'',0.0,0.0
1497392220590010691,,518,,1478858779,102878093,'',0.0,0.0
1497392220689006348,,519,,1478858779,201787948,'',0.0,0.0
1497392220789068293,,520,,1478858779,301918029,'',0.0,0.0
1497392220890853421,,521,,1478858779,403521060,'',0.0,0.0
1497392220989774273,,522,,1478858779,502470970,'',0.0,0.0
1497392221089736620,,523,,1478858779,602442979,'',0.0,0.0
1497392221191447752,,524,,1478858779,702866077,'',0.0,0.0
1497392221290075717,,525,,1478858779,802881956,'',0.0,0.0
1497392221389333205,,526,,1478858779,902228116,'',0.0,0.09525
1497392221489273042,,527,,1478858780,2171039,'',0.28575,0.1905
1497392221589411991,,528,,1478858780,102431058,'',0.381,0.47625
1497392221689535298,,529,,1478858780,202555894,'',0.66675,0.5715
1497392221789863271,,530,,1478858780,302804946,'',0.85725,0.85725
1497392221890336705,,531,,1478858780,403218030,'',0.85725,0.85725
1497392221988912779,,532,,1478858780,502150058,'',0.85725,0.762
1497392222089179021,,533,,1478858780,602138996,'',0.85725,0.85725
1497392222192962468,,534,,1478858780,706108093,'',0.9525,0.85725
1497392222289793624,,535,,1478858780,802608013,'',0.85725,0.762
1497392222389993347,,536,,1478858780,902851104,'',0.85725,0.85725
1497392222490152049,,537,,1478858781,3148078,'',0.9525,0.85725
1497392222588766343,,538,,1478858781,102015018,'',0.9525,0.85725
1497392222689396581,,539,,1478858781,202344894,'',0.85725,0.85725
1497392222789644403,,540,,1478858781,302520036,'',0.9525,0.85725
1497392222890153225,,541,,1478858781,403006076,'',0.85725,0.85725
1497392222990516373,,542,,1478858781,503012895,'',0.9525,0.85725
1497392223090661620,,543,,1478858781,603463888,'',0.9525,0.85725
1497392223190274279,,544,,1478858781,703440904,'',0.85725,0.762
1497392223289491360,,545,,1478858781,802369117,'',0.9525,0.85725
1497392223391082996,,546,,1478858781,903911113,'',0.85725,0.85725
1497392223490107319,,547,,1478858782,2965927,'',0.762,0.66675
1497392223589763557,,548,,1478858782,103040933,'',0.762,0.66675
1497392223690844535,,549,,1478858782,203711986,'',0.66675,0.762
1497392223789490098,,550,,1478858782,302301883,'',0.762,0.66675
1497392223889557900,,551,,1478858782,402426958,'',0.762,0.66675
1497392223989313390,,552,,1478858782,502609968,'',0.66675,0.66675
1497392224090367323,,553,,1478858782,602955102,'',0.762,0.66675
1497392224190203394,,554,,1478858782,703087091,'',0.66675,0.5715
1497392224291390166,,555,,1478858782,803865909,'',0.762,0.762
1497392224389275894,,556,,1478858782,902266025,'',0.762,0.66675
1497392224489405782,,557,,1478858783,2612113,'',0.66675,0.5715
1497392224589209858,,558,,1478858783,102775096,'',0.66675,0.762
1497392224689725003,,559,,1478858783,203006982,'',0.762,0.5715
1497392224789577755,,560,,1478858783,302328109,'',0.762,0.66675
1497392224892409974,,561,,1478858783,405311107,'',0.66675,0.66675
1497392224990204752,,562,,1478858783,503040075,'',0.66675,0.66675
1497392225088930832,,563,,1478858783,601324081,'',0.5715,0.5715
1497392225190133530,,564,,1478858783,702872037,'',0.47625,0.381
1497392225289837024,,565,,1478858783,803064107,'',0.47625,0.381
1497392225389307400,,566,,1478858783,901947021,'',0.1905,0.1905
1497392225490565848,,567,,1478858784,3493070,'',0.28575,0.1905
1497392225591710503,,568,,1478858784,104888916,'',0.09525,0.09525
1497392225689524986,,569,,1478858784,202613115,'',0.0,0.09525
1497392225790051353,,570,,1478858784,302947044,'',0.0,0.0
1497392225890240934,,571,,1478858784,403079032,'',0.0,0.0
1497392225990032144,,572,,1478858784,502486944,'',0.0,0.0
1497392226090387079,,573,,1478858784,603594064,'',0.0,0.0
1497392226189738486,,574,,1478858784,702481031,'',0.0,0.0
1497392226288741469,,575,,1478858784,801485061,'',0.0,0.0
1497392226390566163,,576,,1478858784,903294086,'',0.0,0.0
1497392226490285642,,577,,1478858785,3299951,'',0.0,0.0
