rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,rssi,channels
1496239212170318365,,74101,,1478811575,135702652,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212190775044,,74102,,1478811575,156386773,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212211129271,,74103,,1478811575,176681988,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212231794447,,74104,,1478811575,197466889,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212252243212,,74105,,1478811575,218043250,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212273068707,,74106,,1478811575,238503360,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212293637536,,74107,,1478811575,259125294,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212313708155,,74108,,1478811575,279435040,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212334961155,,74109,,1478811575,300268691,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212355130848,,74110,,1478811575,320953854,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212376184056,,74111,,1478811575,341595162,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212395952394,,74112,,1478811575,361611367,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212417038834,,74113,,1478811575,382411321,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212437533851,,74114,,1478811575,403045337,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212449191017,,74115,,1478811575,414089479,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212468521464,,74116,,1478811575,434047143,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212489355270,,74117,,1478811575,454678399,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212509340683,,74118,,1478811575,475121062,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212530360958,,74119,,1478811575,495821016,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212551022291,,74120,,1478811575,516279304,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212571485117,,74121,,1478811575,536735925,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212592223720,,74122,,1478811575,557454056,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212612788388,,74123,,1478811575,578415259,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212633850708,,74124,,1478811575,598800735,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212653574885,,74125,,1478811575,619258189,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212674134290,,74126,,1478811575,639559915,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212694736028,,74127,,1478811575,659961640,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212714803465,,74128,,1478811575,680515917,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212735807223,,74129,,1478811575,701391600,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212756212484,,74130,,1478811575,721725200,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212777069857,,74131,,1478811575,742399060,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212796905041,,74132,,1478811575,762639380,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1496239212816013322,,74133,,1478811575,781465953,'',0,"[1590, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
